Source,Year,FA_Tim,FA_Mag,FA_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_BFL_Dur,Wet_Tim,Peak_2,Peak_5,Peak_10,Peak_Dur_2,Peak_Dur_5,Peak_Dur_10,Peak_Fre_2,Peak_Fre_5,Peak_Fre_10,SP_Tim,SP_Mag,SP_ROC,SP_Dur,DS_Mag_50,DS_Mag_90,DS_Dur_WS,DS_Tim,DS_7d_Low_Mag,DS_7d_Low_Tim,DS_No_Flow_Tim,DS_No_Flow_Dur,Overall_Int_Class,Int_Class,WYT,Avg,Std,CV
11519500,1965,43,139,5,630,1110,151,60,4520,10920,13380.000000000002,8,4,3,2,1,1,211,2570,0.053597075,148,110,290,95,359,53.99999999999999,371,,,Perennial,Perennial,wet,1078.2410958904109,3006.6564102454463,2.7884824847661287
11519500,1966,46,516,4,343,622,130,88,4520,10920,13380.000000000002,,,,,,,218,1850,0.066832093,102,57,64,90,320,35.14285714285714,340,,,Perennial,Perennial,moderate,476.94794520547947,528.6223760572196,1.1083439636782118
11519500,1967,5,88,3,363.2,697,219,44,4520,10920,13380.000000000002,1,,,1,,,263,1630,0.061855670103092786,79,88.5,120.3,88,342,33.285714285714285,344,,,Perennial,Perennial,moderate,651.3287671232877,720.4260013485272,1.1060865690462591
11519500,1968,46,191,3,137.6,666.5,120,64,4520,10920,13380.000000000002,4,1,,1,1,,184,900,0.06746312,122,54,221,129,306,32.14285714285714,323,,,Perennial,Perennial,dry,446.4590163934426,884.6057639479642,1.981381787501866
11519500,1969,41,250,13,481,1160,179,69,4520,10920,13380.000000000002,1,,,1,,,248,2270,0.074175824,87,81,113.5,66,335,36.57142857142857,345,,,Perennial,Perennial,moderate,785.1753424657534,849.3907192291155,1.0817847597731496
11519500,1970,18,127,2,105,657,105,35,4520,10920,13380.000000000002,11,4,4,3,2,2,140,1840,0.053709162,177,52,60,72,317,31.71428571428571,336,,,Perennial,Perennial,wet,863.0191780821917,1834.550263924398,2.1257352217840055
11519500,1971,10,80,4,329.70000000000005,1190,202,23,4520,10920,13380.000000000002,8,2,1,3,1,1,225,2780,0.051503094606542885,134,123,353.19999999999993,72,359,91.85714285714285,359,,,Perennial,Perennial,wet,1084.6794520547944,1396.0771885634035,1.287087338032175
11519500,1972,44,259,5,234.1,695.5,124,65,4520,10920,13380.000000000002,8,1,,3,1,,189,2070,0.049382716,129,81.5,132.7,124,318,60.857142857142854,318,,,Perennial,Perennial,moderate,744.1639344262295,1337.407005258933,1.7971940635501369
11519500,1973,36,135,3,342,555,161,76,4520,10920,13380.000000000002,,,,,,,237,1120,0.05952381,61,25,54.3,88,298,22.57142857142857,314,,,Perennial,Perennial,dry,377.9780821917808,428.37527979743123,1.133333650759357
11519500,1974,2,66,1,734,1605,200,20,4520,10920,13380.000000000002,13,4,2,3,1,1,220,3120,0.057839858351367304,122,74,137.8,87,342,67.85714285714285,358,,,Perennial,Perennial,wet,1495.7972602739726,2356.5769864664253,1.5754655052883242
